<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.RTS-12.18,1,26/09/18,12:42,115060.0000000,115080.0000000,115040.0000000,115070.0000000,180
SPFB.RTS-12.18,1,26/09/18,12:43,115070.0000000,115070.0000000,115040.0000000,115050.0000000,148
SPFB.RTS-12.18,1,26/09/18,12:44,115040.0000000,115040.0000000,114990.0000000,115000.0000000,443
SPFB.RTS-12.18,1,26/09/18,12:45,114990.0000000,114990.0000000,114870.0000000,114950.0000000,1187
SPFB.RTS-12.18,1,26/09/18,12:46,114940.0000000,115000.0000000,114920.0000000,114940.0000000,446
SPFB.RTS-12.18,1,26/09/18,12:47,114940.0000000,115000.0000000,114940.0000000,114980.0000000,537
SPFB.RTS-12.18,1,26/09/18,12:48,114970.0000000,114970.0000000,114890.0000000,114950.0000000,1061
SPFB.RTS-12.18,1,26/09/18,12:49,114950.0000000,114980.0000000,114930.0000000,114980.0000000,174
SPFB.RTS-12.18,1,26/09/18,12:50,114980.0000000,114980.0000000,114900.0000000,114920.0000000,354
SPFB.RTS-12.18,1,26/09/18,12:51,114900.0000000,114960.0000000,114880.0000000,114900.0000000,532
SPFB.RTS-12.18,1,26/09/18,12:52,114910.0000000,114910.0000000,114830.0000000,114880.0000000,1251
SPFB.RTS-12.18,1,26/09/18,12:53,114880.0000000,114940.0000000,114870.0000000,114940.0000000,356
SPFB.RTS-12.18,1,26/09/18,12:54,114930.0000000,115040.0000000,114930.0000000,115020.0000000,1382
SPFB.RTS-12.18,1,26/09/18,12:55,115020.0000000,115080.0000000,115020.0000000,115040.0000000,816
SPFB.RTS-12.18,1,26/09/18,12:56,115050.0000000,115130.0000000,115040.0000000,115080.0000000,781
SPFB.RTS-12.18,1,26/09/18,12:57,115100.0000000,115120.0000000,115080.0000000,115120.0000000,492
SPFB.RTS-12.18,1,26/09/18,12:58,115120.0000000,115130.0000000,114980.0000000,114990.0000000,1695
SPFB.RTS-12.18,1,26/09/18,12:59,115000.0000000,115010.0000000,114870.0000000,114940.0000000,1599
SPFB.RTS-12.18,1,26/09/18,13:00,114930.0000000,114940.0000000,114790.0000000,114830.0000000,1777
SPFB.RTS-12.18,1,26/09/18,13:01,114830.0000000,114890.0000000,114780.0000000,114890.0000000,1303
SPFB.RTS-12.18,1,26/09/18,13:02,114890.0000000,114950.0000000,114850.0000000,114930.0000000,592
SPFB.RTS-12.18,1,26/09/18,13:03,114930.0000000,114950.0000000,114900.0000000,114930.0000000,250
SPFB.RTS-12.18,1,26/09/18,13:04,114930.0000000,114970.0000000,114890.0000000,114920.0000000,412
SPFB.RTS-12.18,1,26/09/18,13:05,114910.0000000,114930.0000000,114880.0000000,114890.0000000,257
SPFB.RTS-12.18,1,26/09/18,13:06,114900.0000000,114960.0000000,114860.0000000,114930.0000000,747
SPFB.RTS-12.18,1,26/09/18,13:07,114930.0000000,114980.0000000,114910.0000000,114950.0000000,309
